longitude,latitude,elevation,magnetic_reading
254.9835439,30.77682329,1230.113,471
254.9680652,30.76174619,1177.842,608
254.9662922,30.76339929,1193.927,633
254.9645847,30.76507035,1189.663,647
254.9628506,30.76661119,1183.846,661
254.9618977,30.76796897,1163.001,678
254.9635348,30.76873018,1157.712,704
254.9644552,30.76816431,1162.723,721
254.9665419,30.76653858,1188.956,751
254.9682989,30.76492176,1192.301,768
254.9697989,30.76327466,1169.511,786
254.9702133,30.76662138,1186.196,949
254.9713679,30.76544932,1176.002,965
254.9726622,30.76562815,1189.781,987
254.9716993,30.76753723,1179.049,1013
254.968393,30.76773316,1200.826,1035
254.9668101,30.76926681,1196.904,1049
254.969913,30.77014934,1197.281,1072
254.9686518,30.77121278,1186.11,1090
254.9717566,30.77191848,1204.876,1112
254.9739562,30.76957309,1204.747,1133
254.9577485,30.77804294,1209.337,641
254.9561538,30.77617414,1199.735,667
254.9553107,30.77425849,1195.283,681
254.9569377,30.77266169,1191.051,693
254.9566112,30.77072949,1200.922,714
254.9602973,30.76943044,1145.14,752
254.9614706,30.77046334,1151.765,768
254.9644812,30.77153568,1159.254,799
254.966786,30.77260007,1166.746,821
254.968489,30.77479035,1178.773,850
254.9689021,30.77575694,1202.275,888
254.9666385,30.77533728,1190.641,914
254.9650162,30.7745676,1181.199,928
254.9637086,30.77467044,1180.387,942
254.9615576,30.77460725,1171.251,966
254.9612478,30.77288173,1162.555,986
254.9596286,30.77285327,1149.469,1005
254.9742094,30.78488515,1209.698,580
254.9709351,30.78443655,1205.167,606
254.9694026,30.7839438,1205.771,617
254.9679631,30.78526083,1202.062,631
254.9667411,30.78436463,1214.292,645
254.964304,30.78248779,1184.478,666
254.9619902,30.78023019,1179.895,681
254.9605955,30.77929623,1176.284,696
254.9613244,30.77812731,1172.781,711
254.9590007,30.77634255,1162.4,735
254.9593135,30.7747425,1158.713,756
254.9627071,30.77542409,1198.675,811
254.9635511,30.77654673,1202.282,827
254.9639421,30.77783338,1219.811,847
254.9641995,30.77851634,1199.757,863
254.9643774,30.77941623,1195.787,875
254.965581,30.77982506,1209.295,893
254.9669517,30.77919164,1226.942,909
254.9695244,30.78034139,1230.17,922
254.9703278,30.78138718,1236.837,942
254.9700329,30.78290655,1230.479,959
254.9817046,30.77856697,1229.235,555
254.9802272,30.7800952,1229.488,580
254.9788375,30.78166518,1244.235,596
254.9769461,30.78263883,1251.021,612
254.975654,30.78140024,1241.408,627
254.974834,30.781393,1239.141,637
254.9739108,30.78137281,1234.244,649
254.9728534,30.78029335,1230.679,665
254.9715244,30.77904477,1215.872,687
254.9691537,30.77780824,1210.142,705
254.9723549,30.77686345,1220.614,723
254.9740073,30.77868877,1226.83,738
254.9764805,30.77963513,1240.87,756
254.9801447,30.77396319,1197.71,779
254.979508,30.77727657,1218.858,792
254.981556,30.77540921,1219.585,837
254.9801391,30.77397384,1198.17,851
254.9781659,30.77279462,1206.052,866
254.975114,30.77091969,1193.031,883
254.9744704,30.77268237,1201.658,908
254.9761709,30.7743429,1207.114,927
254.9771736,30.77573114,1232.886,944
254.9757175,30.77648993,1227.957,963
254.9748362,30.77607262,1213.788,972
254.9726345,30.77441327,1211.023,991
254.9710141,30.77307992,1201.624,1005
254.98467,30.77389417,1219.958,1029
254.9831972,30.77165197,1201.808,1042
254.9812073,30.77082008,1196.677,1051